service_date,station_name,gated_entries
2018-01-01,Airport,3236.0
2018-01-01,Alewife,1416.0
2018-01-01,Andrew,1310.0
2018-01-01,Aquarium,1801.0
2018-01-01,Arlington,1576.0
2018-01-01,Ashmont,1682.0
2018-01-01,Assembly,633.0
2018-01-01,Back Bay,3356.0
2018-01-01,Beachmont,786.0
2018-01-01,Bowdoin,340.0
2018-01-01,Boylston,2345.0
2018-01-01,Braintree,742.0
2018-01-01,Broadway,838.0
2018-01-01,Central,3006.0
2018-01-01,Charles/MGH,1501.0
2018-01-01,Chinatown,2319.0
2018-01-01,Community College,435.0
2018-01-01,Copley,4076.0
2018-01-01,Courthouse,351.0
2018-01-01,Davis,1671.0
2018-01-01,Downtown Crossing,5362.0
2018-01-01,Fields Corner,894.0
2018-01-01,Forest Hills,2628.0
2018-01-01,Government Center,1360.0
2018-01-01,Green Street,439.0
2018-01-01,Harvard,3878.0
2018-01-01,Haymarket,2921.0
2018-01-01,Hynes Convention Center,1975.0
2018-01-01,JFK/UMass,1243.0
2018-01-01,Jackson Square,1309.0
2018-01-01,Kendall/MIT,1285.0
2018-01-01,Kenmore,1740.0
2018-01-01,Lechmere,1461.0
2018-01-01,Malden Center,2622.0
2018-01-01,Massachusetts Avenue,1219.0
2018-01-01,Maverick,3505.0
2018-01-01,North Quincy,922.0
2018-01-01,North Station,1982.0
2018-01-01,Oak Grove,991.0
2018-01-01,Orient Heights,957.0
2018-01-01,Park Street,3312.0
2018-01-01,Porter,1282.0
2018-01-01,Prudential,1852.0
2018-01-01,Quincy Adams,545.0
2018-01-01,Quincy Center,1659.0
2018-01-01,Revere Beach,925.0
2018-01-01,Riverside,274.0
2018-01-01,Roxbury Crossing,678.0
2018-01-01,Ruggles,1463.0
2018-01-01,Savin Hill,421.0
2018-01-01,Science Park,343.0
2018-01-01,Shawmut,493.0
2018-01-01,South Station,5679.0
2018-01-01,State Street,2097.0
2018-01-01,Stony Brook,680.0
2018-01-01,Suffolk Downs,58.0
2018-01-01,Sullivan Square,1873.0
2018-01-01,Symphony,429.0
2018-01-01,Tufts Medical Center,1340.0
2018-01-01,Wellington,1112.0
2018-01-01,Wollaston,862.0
2018-01-01,Wonderland,1687.0
2018-01-01,Wood Island,512.0
2018-01-01,World Trade Center,166.0
2018-01-02,Airport,5302.0
2018-01-02,Alewife,9445.0
2018-01-02,Andrew,4477.0
2018-01-02,Aquarium,3623.0
2018-01-02,Arlington,5737.0
2018-01-02,Ashmont,6404.0
2018-01-02,Assembly,2219.0
2018-01-02,Back Bay,13326.0
2018-01-02,Beachmont,2357.0
2018-01-02,Bowdoin,1766.0
2018-01-02,Boylston,3707.0
2018-01-02,Braintree,3614.0
2018-01-02,Broadway,4909.0
2018-01-02,Central,11166.0
2018-01-02,Charles/MGH,8449.0
2018-01-02,Chinatown,4838.0
